MA1S1_0.03	MA1S2_0.03	MA1S3_0.03	MB3S1_0.03	MB3S2_0.03	MB3S3_0.03	MA1S1_0.1	MA1S2_0.1	MA1S3_0.1	MB3S1_0.1	MB3S2_0.1	MB3S3_0.1
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	2	1	2	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	1	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	2	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	3	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	2	0	1	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	1	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	1	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	2	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
0	0	0	0	0	2	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	2	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
